Status,pdate,Job ID,Job title,Company Name,DE,Company Location,Seniority Level,Industry,Employment Type,Job Functions,Number of applicants,pdatetime,Posted Date,cdatetime,cdate
3 Open,2020-04-01,1781892008,(Senior) Data Scientist - Groceries and New Verticals (f/m/d),Delivery Hero,False,"Berlin, DE",Associate,Marketing & Advertising | Computer Software | Internet,Full-time,Other,Be among the first 25 applicants,2020-04-01 17:15:15.172256,Posted 3 weeks ago,2020-04-22 17:15:15.172256,2020-04-22
3 Open,2020-04-13,1632979417,(Senior) Data Scientist - Machine Learning (f/m/d),Delivery Hero,False,"Berlin, DE",Associate,Food & Beverages | Consumer Goods | Retail,Full-time,Other,61 applicants,2020-04-13 15:05:05.991451,Posted 3 weeks ago,2020-05-04 15:05:05.991451,2020-05-04
3 Open,2020-04-14,1793279976,Senior Data Scientist (m/w/d) Medical Devices,Fresenius Medical Care,False,"Berlin, DE",Associate,Hospital & Health Care | Pharmaceuticals | Information Technology & Services,Full-time,Other,36 applicants,2020-04-14 17:02:15.743125,Posted 1 week ago,2020-04-21 17:02:15.743125,2020-04-21
3 Open,2020-04-14,1793291251,Point Cloud Data Scientist / Researcher,Teraki,False,"Berlin, Germany",Associate,Information Technology & Services,Full-time,Science | Information Technology | Engineering,35 applicants,2020-04-14 16:58:05.587049,Posted 1 week ago,2020-04-21 16:58:05.587049,2020-04-21
3 Open,2020-04-20,1825847103,Data Science Lead (m/f),FREE NOW DE,False,"Berlin, DE",Entry level,Information Technology & Services | Computer Software | Internet,Full-time,Engineering | Information Technology,Be among the first 25 applicants,2020-04-20 16:58:05.583049,Posted 1 day ago,2020-04-21 16:58:05.583049,2020-04-21
3 Open,2020-04-22,1802169146,Senior Data Scientist - Search and Discovery (f/m/d),Delivery Hero,False,"Berlin, DE",Associate,Marketing & Advertising | Human Resources | Financial Services,Full-time,Other,Be among the first 25 applicants,2020-04-22 17:44:05.506023,Posted 1 week ago,2020-04-29 17:44:05.506023,2020-04-29
3 Open,2020-04-22,1826619401,Senior Data Scientist - Supplier Financing,Wayfair,False,"Berlin, DE",Associate,Marketing & Advertising | Information Technology & Services | Internet,Full-time,Other,Be among the first 25 applicants,2020-04-22 17:46:01.091760,Posted 1 week ago,2020-04-29 17:46:01.091760,2020-04-29
3 Open,2020-04-23,1812119189,Senior Research Engineer - Pricing and Personalisation (Python),Zalando SE,False,"Berlin, DE",Mid-Senior level,Internet | Retail | Information Technology & Services,Full-time,Research,Be among the first 25 applicants,2020-04-23 17:51:17.963523,Posted 6 days ago,2020-04-29 17:51:17.963523,2020-04-29
3 Open,2020-04-28,1632979417,Senior Data Scientist - Data & Machine Learning (f/m/d),Delivery Hero,False,"Berlin, DE",Associate,Food & Beverages | Consumer Goods | Retail,Full-time,Other,54 applicants,2020-04-28 15:04:38.819443,Posted 6 days ago,2020-05-04 15:04:38.819443,2020-05-04
3 Open,2020-04-29,1822837770,Senior Data Scientist (f/m/d) at SGEF Digital Factory,join.com,False,"Berlin, DE",Mid-Senior level,Information Technology & Services,Full-time,Finance,Be among the first 25 applicants,2020-04-29 17:41:24.187654,Posted 23 hours ago,2020-04-29 17:41:24.187654,2020-04-29
3 Open,2020-04-29,1838898657,Senior Data Scientist (f/m/x),travel audience GmbH - an Amadeus Company,False,"Berlin Area, Germany",Mid-Senior level,"Internet | Marketing & Advertising | Leisure, Travel & Tourism",Full-time,Research | Analyst | Engineering,26 applicants,2020-04-29 17:41:24.267655,Posted 4 hours ago,2020-04-29 17:41:24.267655,2020-04-29
3 Open,2020-05-04,1849671387,Senior Data Scientist,Client Server Limited,False,"Berlin, DE",Associate,Information Technology & Services | Computer Software | Automotive,Full-time,Other,Be among the first 25 applicants,2020-05-04 16:06:50.790629,Posted 6 days ago,2020-05-10 16:06:50.790629,2020-05-10
3 Open,2020-05-04,1849421443,Senior Data Scientist,Intelletec,False,"Berlin, DE",Associate,Information Technology & Services | Computer Software | Computer & Network Security,Full-time,Other,Be among the first 25 applicants,2020-05-04 10:54:31.494979,Posted 8 hours ago,2020-05-04 10:54:31.494979,2020-05-04
3 Open,2020-05-06,1830514142,Senior Data Scientist (d/m/f),Bayes Esports Solutions GmbH,False,"Berlin, DE",Mid-Senior level,Information Technology & Services,Full-time,Information Technology,Be among the first 25 applicants,2020-05-06 16:06:50.698628,Posted 4 days ago,2020-05-10 16:06:50.698628,2020-05-10
3 Open,2020-05-06,1830512174,Senior Data Scientist (Remote),DL Remote,False,"Berlin, DE",Associate,Information Technology & Services,Full-time,Information Technology,31 applicants,2020-05-06 16:06:50.630627,Posted 4 days ago,2020-05-10 16:06:50.630627,2020-05-10
3 Open,2020-05-07,1830598886,Data Scientist,hundred,False,"Berlin, DE",Associate,Pharmaceuticals,Full-time,Engineering,39 applicants,2020-05-07 16:06:50.542626,Posted 3 days ago,2020-05-10 16:06:50.542626,2020-05-10
3 Open,2020-05-09,1856009486,Data Scientist,Alldus,False,"Berlin, DE",Entry level,Information Technology & Services | Computer Software | Information Services,Full-time,Engineering | Information Technology,Be among the first 25 applicants,2020-05-09 16:06:50.466625,Posted 1 day ago,2020-05-10 16:06:50.466625,2020-05-10
3 Open,2020-04-07,1804062999,(Junior) Data Scientist / Data Analyst (w/m/d),KPMG Deutschland,True,"Berlin, DE",Entry level,Information Technology & Services | Staffing & Recruiting | Management Consulting,Full-time,Engineering | Information Technology,36 applicants,2020-04-07 16:58:05.587049,Posted 2 weeks ago,2020-04-21 16:58:05.587049,2020-04-21
3 Open,2020-04-15,1823403839,Data Science Consultant (x/f/m),idalab GmbH,True,"Berlin, DE",Associate,Internet | Staffing & Recruiting | Management Consulting,Full-time,Information Technology,Be among the first 25 applicants,2020-04-15 17:21:57.232347,Posted 2 weeks ago,2020-04-29 17:21:57.232347,2020-04-29
3 Open,2020-04-15,1823406232,Machine Learning Engineer for Drug Development at HotSpot Therapeutics (x/f/m),idalab GmbH,True,"Berlin, DE",Entry level,Internet | Staffing & Recruiting | Management Consulting,Full-time,Engineering | Information Technology,28 applicants,2020-04-15 17:41:05.955391,Posted 2 weeks ago,2020-04-29 17:41:05.955391,2020-04-29
3 Open,2020-04-18,1823878161,Data Scientist (m/w/d),Characters Recruiting GmbH,True,"Berlin, DE",Entry level,Information Technology & Services | Computer Software | Internet,Full-time,Engineering | Information Technology,Be among the first 25 applicants,2020-04-18 16:58:05.587049,Posted 3 days ago,2020-04-21 16:58:05.587049,2020-04-21
